Graph Name,Coarsen Edges,Partition Time,Coarsen Time,Init Time,Uncoarsen Time,Edgecut,Coarsen nvtxs
wb-edu,,171.77,84.55,15.81,71.41,474540,
amazon-2008,,48.39,12.29,11.62,24.48,325135,
vas_stokes_4M,,111.02,52.46,8.68,49.88,2564451,
road_usa,,175.55,56.48,9.74,109.33,11068,
nlpkkt120,,98.9,35.72,15.22,47.95,2667592,
Bump_2911,,69.96,26.16,7.74,36.05,2543663,
cage15,,144.11,39.99,11.65,92.47,3392615,
hugebubbles-00000,,103.76,27.19,7.52,69.05,29641,
kron_g500-logn21,,1179.42,504.19,9.33,665.9,46282173,
